GEO_ID,B01003_001E,B01003_001M,B11016_001E,B11016_001M,B19025_001E,B19025_001M,NAME,GEO_ID,state,county,tract
12095016505,3063,339,1083,108,61220100,10915710,"Census Tract 165.05, Orange County, Florida",1400000US12095016505,12,095,016505
12095016509,4260,487,1770,132,88848100,10980560,"Census Tract 165.09, Orange County, Florida",1400000US12095016509,12,095,016509
12095016601,11369,734,3729,184,297368500,42815551,"Census Tract 166.01, Orange County, Florida",1400000US12095016601,12,095,016601
12095016904,4557,507,1444,107,64435500,9411094,"Census Tract 169.04, Orange County, Florida",1400000US12095016904,12,095,016904
12095017001,4217,447,1373,124,76103900,10161762,"Census Tract 170.01, Orange County, Florida",1400000US12095017001,12,095,017001
12095016713,7407,1104,2655,299,128223300,21029780,"Census Tract 167.13, Orange County, Florida",1400000US12095016713,12,095,016713
12095016714,3312,248,1015,69,60791400,6204111,"Census Tract 167.14, Orange County, Florida",1400000US12095016714,12,095,016714
12095016804,4284,536,1372,111,86213900,17348767,"Census Tract 168.04, Orange County, Florida",1400000US12095016804,12,095,016804
12095012900,2652,225,1268,98,97007700,9130906,"Census Tract 129, Orange County, Florida",1400000US12095012900,12,095,012900
12095013507,7402,744,2965,139,146395600,18220168,"Census Tract 135.07, Orange County, Florida",1400000US12095013507,12,095,013507
12095013603,5174,617,2265,140,121588700,22352696,"Census Tract 136.03, Orange County, Florida",1400000US12095013603,12,095,013603
12095013402,3706,459,1109,64,64044500,8128152,"Census Tract 134.02, Orange County, Florida",1400000US12095013402,12,095,013402
12095012401,8601,1052,3040,236,174640200,38316415,"Census Tract 124.01, Orange County, Florida",1400000US12095012401,12,095,012401
12095012402,5845,752,2480,191,90900900,12266770,"Census Tract 124.02, Orange County, Florida",1400000US12095012402,12,095,012402
12095012701,5059,440,2274,169,218697000,32961680,"Census Tract 127.01, Orange County, Florida",1400000US12095012701,12,095,012701
12095013503,2432,264,909,76,32225600,4123104,"Census Tract 135.03, Orange County, Florida",1400000US12095013503,12,095,013503
12095013802,2796,220,1116,74,88785200,11255034,"Census Tract 138.02, Orange County, Florida",1400000US12095013802,12,095,013802
12095014301,5543,609,1995,153,138865500,16306707,"Census Tract 143.01, Orange County, Florida",1400000US12095014301,12,095,014301
12095014502,5095,562,1958,154,68142600,18086756,"Census Tract 145.02, Orange County, Florida",1400000US12095014502,12,095,014502
12095014701,5235,611,1935,124,79489000,13200990,"Census Tract 147.01, Orange County, Florida",1400000US12095014701,12,095,014701
12095015004,10129,663,3011,214,245333800,28739336,"Census Tract 150.04, Orange County, Florida",1400000US12095015004,12,095,015004
12095015104,5297,371,1941,109,101700100,8435914,"Census Tract 151.04, Orange County, Florida",1400000US12095015104,12,095,015104
12095015801,1801,170,656,63,179991300,30734888,"Census Tract 158.01, Orange County, Florida",1400000US12095015801,12,095,015801
12095016301,6351,701,2717,160,222974100,56275866,"Census Tract 163.01, Orange County, Florida",1400000US12095016301,12,095,016301
12095016503,6061,1216,2112,176,127899600,18137752,"Census Tract 165.03, Orange County, Florida",1400000US12095016503,12,095,016503
12095016504,5635,432,1877,97,134548000,19405967,"Census Tract 165.04, Orange County, Florida",1400000US12095016504,12,095,016504
12095013605,3993,420,1465,101,103283000,19918298,"Census Tract 136.05, Orange County, Florida",1400000US12095013605,12,095,013605
12095014702,5580,597,2358,181,101315100,15191845,"Census Tract 147.02, Orange County, Florida",1400000US12095014702,12,095,014702
